plants,LED,,,Parameters,,,,,,,,,,,,,,,,,,,,
,R,G,B,stem diameter (mm),No. leaf,FW (g),DW (g),root FW (g),root DW (g),stem length (cm),leaf area (cm^2),root length (cm),root diameter (mm),leaf width,leaf length,,,,,,,,,
tomato,100,,,7.5,,,,,,12.4,320,,,,,,,,,,,,,
tomato,,,100,6.82,,,,,,10.8,334,,,,,,,,,,,,,
tomato,66.6667,,33.3333,7.22,,,,,,12,320,,,,,,,,,,,,,
tomato,33.3333,,66.6667,7.2,,,,,,11.6,318,,,,,,,,,,,,,
pepper,100,,,5.78,,,,,,8.92,168,,,,,,,,,,,,,
pepper,,,100,5.16,,,,,,7.48,165,,,,,,,,,,,,,
pepper,66.6667,,33.3333,5.6,,,,,,8.72,155,,,,,,,,,,,,,
pepper,33.3333,,66.6667,5.72,,,,,,7,158,,,,,,,,,,,,,
lettuce,,,100,,9.3,4.69,0.1593,0.041,,,,10.7,,,,,,,,,,,,
lettuce,100,,,,4.7,0.2487,0.0157,0.0003,,,,2,,,,,,,,,,,,
Myrtus communis,,,100,,7.75,0.2756,0.04291,,,,,6.4,,,,,,,,,,,,
Myrtus communis,70,,30,,6.87,0.2385,0.03889,,,,,6.5,,,,,,,,,,,,
Myrtus communis,100,,,,4.11,0.2217,0.04084,,,,,10.01,,,,,,,,,,,,
 Lactuca sativa,,,100,,8.33,,,,,26.86,,,,,,,,,,,,,,
 Lactuca sativa,50,,50,,12.17,,,,,20.47,,,,,,,,,,,,,,
 Lactuca sativa,33.33,,66.66,,11.33,,,,,19.28,,,,,,,,,,,,,,
 Lactuca sativa,66.66,,33.33,,10,,,,,20.72,,,,,,,,,,,,,,
pepper,24.3,45.3,30.1,2.5,,1.8,0.18,0.8,0.065,11,150,,,,,,,,,,,,,
pepper,35.6,42.9,21.1,3,,3,0.3,0.95,0.08,14.7,100,,,,,,,,,,,,,
pepper,76.9,1,22,2.7,,2,0.2,0.9,0.07,12,70,,,,,,,,,,,,,
pepper,39.2,39.1,20.5,2.6,,2.1,0.2,0.6,0.57,11,130,,,,,,,,,,,,,
Brassica napus,66.66,,33.33,3.8,,,1.22,,0.18,10.23,73.94,,,,,,,,,,,,,
